"code_point","char","utf8","name","multiascii","ascii"
"U+007A","z","7a","LATIN SMALL LETTER Z","z",
"U+007B","{","7b","LEFT CURLY BRACKET","{",
"U+007C","|","7c","VERTICAL LINE","|",
"U+007D","}","7d","RIGHT CURLY BRACKET","}",
"U+007E","~","7e","TILDE","~",
"U+007F",,"7f","<control>"," ",
"U+0080",,"c2 80","<control>"," ",
"U+0081",,"c2 81","<control>"," ",
"U+0082",,"c2 82","<control>"," ",
"U+0083",,"c2 83","<control>"," ",
"U+0084",,"c2 84","<control>"," ",
"U+0085",,"c2 85","<control>"," ",
"U+0086",,"c2 86","<control>"," ",
"U+0087",,"c2 87","<control>"," ",
"U+0088",,"c2 88","<control>"," ",
"U+0089",,"c2 89","<control>"," ",
"U+008A",,"c2 8a","<control>"," ",
"U+008B",,"c2 8b","<control>"," ",
"U+008C",,"c2 8c","<control>"," ",
"U+008D",,"c2 8d","<control>"," ",
"U+008E",,"c2 8e","<control>"," ",
"U+008F",,"c2 8f","<control>"," ",
"U+0090",,"c2 90","<control>"," ",
"U+0091",,"c2 91","<control>"," ",
"U+0092",,"c2 92","<control>"," ",
"U+0093",,"c2 93","<control>"," ",
"U+0094",,"c2 94","<control>"," ",
"U+0095",,"c2 95","<control>"," ",
"U+0096",,"c2 96","<control>"," ",
"U+0097",,"c2 97","<control>"," ",
"U+0098",,"c2 98","<control>"," ",
"U+0099",,"c2 99","<control>"," ",
"U+009A",,"c2 9a","<control>"," ",
"U+009B",,"c2 9b","<control>"," ",
"U+009C",,"c2 9c","<control>"," ",
"U+009D",,"c2 9d","<control>"," ",
"U+009E",,"c2 9e","<control>"," ",
"U+009F",,"c2 9f","<control>"," ",
"U+00A0",,"c2 a0","NO-BREAK SPACE"," ",
"U+00A1","¡","c2 a1","INVERTED EXCLAMATION MARK","i",
"U+00A2","¢","c2 a2","CENT SIGN"," CENTS",
"U+00A3","£","c2 a3","POUND SIGN"," POUNDS",
"U+00A4","¤","c2 a4","CURRENCY SIGN"," CURRENCY",
"U+00A5","¥","c2 a5","YEN SIGN"," YEN",
"U+00A6","¦","c2 a6","BROKEN BAR"," |",
"U+00A7","§","c2 a7","SECTION SIGN"," SECTION",
"U+00A8","¨","c2 a8","DIAERESIS","""",
"U+00A9","©","c2 a9","COPYRIGHT SIGN"," COPYRIGHT",
"U+00AA","ª","c2 aa","FEMININE ORDINAL INDICATOR"," a",
"U+00AB","«","c2 ab","LEFT-POINTING DOUBLE ANGLE QUOTATION MARK","<<",
"U+00AC","¬","c2 ac","NOT SIGN"," NOT",
"U+00AD","­","c2 ad","SOFT HYPHEN","-",
"U+00AE","®","c2 ae","REGISTERED SIGN"," REGISTERED",
"U+00AF","¯","c2 af","MACRON"," ~",
"U+00B0","°","c2 b0","DEGREE SIGN"," DEGREES",
"U+00B1","±","c2 b1","PLUS-MINUS SIGN","+/-",
"U+00B2","²","c2 b2","SUPERSCRIPT TWO","^2",2
"U+00B3","³","c2 b3","SUPERSCRIPT THREE","^3",3
"U+00B4","´","c2 b4","ACUTE ACCENT","'","'"
"U+00B5","µ","c2 b5","MICRO SIGN","MICRO","u"
"U+00B6","¶","c2 b6","PILCROW SIGN"," PARAGRAPH","P"
"U+00B7","·","c2 b7","MIDDLE DOT"," DOT ","."
"U+00B8","¸","c2 b8","CEDILLA",",",","
"U+00B9","¹","c2 b9","SUPERSCRIPT ONE","^1",
"U+00BA","º","c2 ba","MASCULINE ORDINAL INDICATOR"," DEGREES","o"
"U+00BB","»","c2 bb","RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK",">>",">"
"U+00BC","¼","c2 bc","VULGAR FRACTION ONE QUARTER",1/4," "
"U+00BD","½","c2 bd","VULGAR FRACTION ONE HALF",1/2," "
"U+00BE","¾","c2 be","VULGAR FRACTION THREE QUARTERS",3/4,
"U+00BF","¿","c2 bf","INVERTED QUESTION MARK","?
","?"
"U+00C0","À","c3 80","LATIN CAPITAL LETTER A WITH GRAVE","A","A"
"U+00C1","Á","c3 81","LATIN CAPITAL LETTER A WITH ACUTE","A","A"
"U+00C2","Â","c3 82","LATIN CAPITAL LETTER A WITH CIRCUMFLEX","A","A"
"U+00C3","Ã","c3 83","LATIN CAPITAL LETTER A WITH TILDE","A","A"
"U+00C4","Ä","c3 84","LATIN CAPITAL LETTER A WITH DIAERESIS","A","A"
"U+00C5","Å","c3 85","LATIN CAPITAL LETTER A WITH RING ABOVE","A","A"
"U+00C6","Æ","c3 86","LATIN CAPITAL LETTER AE","AE","A"
"U+00C7","Ç","c3 87","LATIN CAPITAL LETTER C WITH CEDILLA","C","C"
"U+00C8","È","c3 88","LATIN CAPITAL LETTER E WITH GRAVE","E","E"
"U+00C9","É","c3 89","LATIN CAPITAL LETTER E WITH ACUTE","E","E"
"U+00CA","Ê","c3 8a","LATIN CAPITAL LETTER E WITH CIRCUMFLEX","E","E"
"U+00CB","Ë","c3 8b","LATIN CAPITAL LETTER E WITH DIAERESIS","E","E"
"U+00CC","Ì","c3 8c","LATIN CAPITAL LETTER I WITH GRAVE","l","l"
"U+00CD","Í","c3 8d","LATIN CAPITAL LETTER I WITH ACUTE","l","l"
"U+00CE","Î","c3 8e","LATIN CAPITAL LETTER I WITH CIRCUMFLEX","l","l"
"U+00CF","Ï","c3 8f","LATIN CAPITAL LETTER I WITH DIAERESIS","l","l"
"U+00D0","Ð","c3 90","LATIN CAPITAL LETTER ETH","D","D"
"U+00D1","Ñ","c3 91","LATIN CAPITAL LETTER N WITH TILDE","N","N"
"U+00D2","Ò","c3 92","LATIN CAPITAL LETTER O WITH GRAVE","O","O"
"U+00D3","Ó","c3 93","LATIN CAPITAL LETTER O WITH ACUTE","O","O"
"U+00D4","Ô","c3 94","LATIN CAPITAL LETTER O WITH CIRCUMFLEX","O","O"
"U+00D5","Õ","c3 95","LATIN CAPITAL LETTER O WITH TILDE","O","O"
"U+00D6","Ö","c3 96","LATIN CAPITAL LETTER O WITH DIAERESIS","O","O"
"U+00D7","×","c3 97","MULTIPLICATION SIGN","x","x"
"U+00D8","Ø","c3 98","LATIN CAPITAL LETTER O WITH STROKE",0,0
"U+00D9","Ù","c3 99","LATIN CAPITAL LETTER U WITH GRAVE","U","U"
"U+00DA","Ú","c3 9a","LATIN CAPITAL LETTER U WITH ACUTE","U","U"
"U+00DB","Û","c3 9b","LATIN CAPITAL LETTER U WITH CIRCUMFLEX","U","U"
"U+00DC","Ü","c3 9c","LATIN CAPITAL LETTER U WITH DIAERESIS","U","U"
"U+00DD","Ý","c3 9d","LATIN CAPITAL LETTER Y WITH ACUTE","Y","Y"
"U+00DE","Þ","c3 9e","LATIN CAPITAL LETTER THORN","P","P"
"U+00DF","ß","c3 9f","LATIN SMALL LETTER SHARP S","B","B"
"U+00E0","à","c3 a0","LATIN SMALL LETTER A WITH GRAVE","a","a"
"U+00E1","á","c3 a1","LATIN SMALL LETTER A WITH ACUTE","a","a"
"U+00E2","â","c3 a2","LATIN SMALL LETTER A WITH CIRCUMFLEX","a","a"
"U+00E3","ã","c3 a3","LATIN SMALL LETTER A WITH TILDE","a","a"
"U+00E4","ä","c3 a4","LATIN SMALL LETTER A WITH DIAERESIS","a","a"
"U+00E5","å","c3 a5","LATIN SMALL LETTER A WITH RING ABOVE","a","a"
"U+00E6","æ","c3 a6","LATIN SMALL LETTER AE","ae","a"
"U+00E7","ç","c3 a7","LATIN SMALL LETTER C WITH CEDILLA","c","c"
"U+00E8","è","c3 a8","LATIN SMALL LETTER E WITH GRAVE","e","e"
"U+00E9","é","c3 a9","LATIN SMALL LETTER E WITH ACUTE","e","e"
"U+00EA","ê","c3 aa","LATIN SMALL LETTER E WITH CIRCUMFLEX","e","e"
"U+00EB","ë","c3 ab","LATIN SMALL LETTER E WITH DIAERESIS","e","e"
"U+00EC","ì","c3 ac","LATIN SMALL LETTER I WITH GRAVE","i","i"
"U+00ED","í","c3 ad","LATIN SMALL LETTER I WITH ACUTE","i","i"
"U+00EE","î","c3 ae","LATIN SMALL LETTER I WITH CIRCUMFLEX","i","i"
"U+00EF","ï","c3 af","LATIN SMALL LETTER I WITH DIAERESIS","i","i"
"U+00F0","ð","c3 b0","LATIN SMALL LETTER ETH","o","o"
"U+00F1","ñ","c3 b1","LATIN SMALL LETTER N WITH TILDE","n","n"
"U+00F2","ò","c3 b2","LATIN SMALL LETTER O WITH GRAVE","o","o"
"U+00F3","ó","c3 b3","LATIN SMALL LETTER O WITH ACUTE","o","o"
"U+00F4","ô","c3 b4","LATIN SMALL LETTER O WITH CIRCUMFLEX","o","o"
"U+00F5","õ","c3 b5","LATIN SMALL LETTER O WITH TILDE","o","o"
"U+00F6","ö","c3 b6","LATIN SMALL LETTER O WITH DIAERESIS","o","o"
"U+00F7","÷","c3 b7","DIVISION SIGN","/","/"
"U+00F8","ø","c3 b8","LATIN SMALL LETTER O WITH STROKE",0,0
"U+00F9","ù","c3 b9","LATIN SMALL LETTER U WITH GRAVE","u","u"
"U+00FA","ú","c3 ba","LATIN SMALL LETTER U WITH ACUTE","u","u"
"U+00FB","û","c3 bb","LATIN SMALL LETTER U WITH CIRCUMFLEX","u","u"
"U+00FC","ü","c3 bc","LATIN SMALL LETTER U WITH DIAERESIS","u","u"
"U+00FD","ý","c3 bd","LATIN SMALL LETTER Y WITH ACUTE","y","y"
"U+00FE","þ","c3 be","LATIN SMALL LETTER THORN","p","p"
"U+00FF","ÿ","c3 bf","LATIN SMALL LETTER Y WITH DIAERESIS","y","y"
"U+00100+","Ā","c480","LATIN CAPITAL LETTER A WITH MACRON (U+0100)","A","A^-^"
"U+00100+","ā","c481","LATIN SMALL LETTER A WITH MACRON (U+0101)","a","a^-^"
"U+00100+","Ă","c482","LATIN CAPITAL LETTER A WITH BREVE (U+0102)","A","A^u^"
"U+00100+","ă","c483","LATIN SMALL LETTER A WITH BREVE (U+0103)","a","A^u^"
"U+00100+","Ą","c484","LATIN CAPITAL LETTER A WITH OGONEK (U+0104)","A","A"
"U+00100+","ą","c485","LATIN SMALL LETTER A WITH OGONEK (U+0105)","a","a"
"U+00100+","Ć","c486","LATIN CAPITAL LETTER C WITH ACUTE (U+0106)","C","C"
"U+00100+","ć","c487","LATIN SMALL LETTER C WITH ACUTE (U+0107)","c","c"
"U+00100+","Ĉ","c488","LATIN CAPITAL LETTER C WITH CIRCUMFLEX (U+0108)","C","C"
"U+00100+","ĉ","c489","LATIN SMALL LETTER C WITH CIRCUMFLEX (U+0109)","c","c"
"U+00100+","Ċ","c48a","LATIN CAPITAL LETTER C WITH DOT ABOVE (U+010A)","C","C"
"U+00100+","ċ","c48b","LATIN SMALL LETTER C WITH DOT ABOVE (U+010B)","c","c"
"U+00100+","Č","c48c","LATIN CAPITAL LETTER C WITH CARON (U+010C)","C","C"
"U+00100+","č","c48d","LATIN SMALL LETTER C WITH CARON (U+010D)","c","c"
"U+00100+","Ď","c48e","LATIN CAPITAL LETTER D WITH CARON (U+010E)","D","D"
"U+00100+","ď","c48f","LATIN SMALL LETTER D WITH CARON (U+010F)","d","d"
"U+00100+","Đ","c490","LATIN CAPITAL LETTER D WITH STROKE (U+0110)","D","D"
"U+00100+","đ","c491","LATIN SMALL LETTER D WITH STROKE (U+0111)","d","d"
"U+00100+","Ē","c492","LATIN CAPITAL LETTER E WITH MACRON (U+0112)","E","E"
"U+00100+","ē","c493","LATIN SMALL LETTER E WITH MACRON (U+0113)","e","e"
"U+00100+","Ĕ","c494","LATIN CAPITAL LETTER E WITH BREVE (U+0114)","E","E"
"U+00100+","ĕ","c495","LATIN SMALL LETTER E WITH BREVE (U+0115)","e","e"
"U+00100+","Ė","c496","LATIN CAPITAL LETTER E WITH DOT ABOVE (U+0116)","E","E"
"U+00100+","ė","c497","LATIN SMALL LETTER E WITH DOT ABOVE (U+0117)","e","e"
"U+00100+","Ę","c498","LATIN CAPITAL LETTER E WITH OGONEK (U+0118)","E","E"
"U+00100+","ę","c499","LATIN SMALL LETTER E WITH OGONEK (U+0119)","e","e"
"U+00100+","Ě","c49a","LATIN CAPITAL LETTER E WITH CARON (U+011A)","E","E"
"U+00100+","ě","c49b","LATIN SMALL LETTER E WITH CARON (U+011B)","e","e"
"U+00100+","Ĝ","c49c","LATIN CAPITAL LETTER G WITH CIRCUMFLEX (U+011C)","G","G"
"U+00100+","ĝ","c49d","LATIN SMALL LETTER G WITH CIRCUMFLEX (U+011D)","g","g"
"U+00100+","Ğ","c49e","LATIN CAPITAL LETTER G WITH BREVE (U+011E)","G","G"
"U+00100+","ğ","c49f","LATIN SMALL LETTER G WITH BREVE (U+011F)","g","g"
"U+00100+","Ġ","c4a0","LATIN CAPITAL LETTER G WITH DOT ABOVE (U+0120)","G","G"
"U+00100+","ġ","c4a1","LATIN SMALL LETTER G WITH DOT ABOVE (U+0121)","g","g"
"U+00100+","Ģ","c4a2","LATIN CAPITAL LETTER G WITH CEDILLA (U+0122)","G","G"
"U+00100+","ģ","c4a3","LATIN SMALL LETTER G WITH CEDILLA (U+0123)","g","g"
"U+00100+","Ĥ","c4a4","LATIN CAPITAL LETTER H WITH CIRCUMFLEX (U+0124)","H","H"
"U+00100+","ĥ","c4a5","LATIN SMALL LETTER H WITH CIRCUMFLEX (U+0125)","h","h"
"U+00100+","Ħ","c4a6","LATIN CAPITAL LETTER H WITH STROKE (U+0126)","H","H"
"U+00100+","ħ","c4a7","LATIN SMALL LETTER H WITH STROKE (U+0127)","h","h"
"U+00100+","Ĩ","c4a8","LATIN CAPITAL LETTER I WITH TILDE (U+0128)","I","I^~^"
"U+00100+","ĩ","c4a9","LATIN SMALL LETTER I WITH TILDE (U+0129)","i","i^~^"
"U+00100+","Ī","c4aa","LATIN CAPITAL LETTER I WITH MACRON (U+012A)","I","I"
"U+00100+","ī","c4ab","LATIN SMALL LETTER I WITH MACRON (U+012B)","i","i"
"U+00100+","Ĭ","c4ac","LATIN CAPITAL LETTER I WITH BREVE (U+012C)","I","I"
"U+00100+","ĭ","c4ad","LATIN SMALL LETTER I WITH BREVE (U+012D)","i","i"
"U+00100+","Į","c4ae","LATIN CAPITAL LETTER I WITH OGONEK (U+012E)","I","I"
"U+00100+","į","c4af","LATIN SMALL LETTER I WITH OGONEK (U+012F)","i","i"
"U+00100+","İ","c4b0","LATIN CAPITAL LETTER I WITH DOT ABOVE (U+0130)","I","I"
"U+00100+","ı","c4b1","LATIN SMALL LETTER DOTLESS I (U+0131)","i","i"
"U+00100+","Ĳ","c4b2","LATIN CAPITAL LIGATURE IJ (U+0132)","I","IJ"
"U+00100+","ĳ","c4b3","LATIN SMALL LIGATURE IJ (U+0133)","j","ij"
"U+00100+","Ĵ","c4b4","LATIN CAPITAL LETTER J WITH CIRCUMFLEX (U+0134)","J","J"
"U+00100+","ĵ","c4b5","LATIN SMALL LETTER J WITH CIRCUMFLEX (U+0135)","j","j"
"U+00100+","Ķ","c4b6","LATIN CAPITAL LETTER K WITH CEDILLA (U+0136)","K","K"
"U+00100+","ķ","c4b7","LATIN SMALL LETTER K WITH CEDILLA (U+0137)","k","k"
"U+00100+","ĸ","c4b8","LATIN SMALL LETTER KRA (U+0138)","k","k"
"U+00100+","Ĺ","c4b9","LATIN CAPITAL LETTER L WITH ACUTE (U+0139)","L","L"
"U+00100+","ĺ","c4ba","LATIN SMALL LETTER L WITH ACUTE (U+013A)","l","l"
"U+00100+","Ļ","c4bb","LATIN CAPITAL LETTER L WITH CEDILLA (U+013B)","L","L"
"U+00100+","ļ","c4bc","LATIN SMALL LETTER L WITH CEDILLA (U+013C)","l","l"
"U+00100+","Ľ","c4bd","LATIN CAPITAL LETTER L WITH CARON (U+013D)","L","L"
"U+00100+","ľ","c4be","LATIN SMALL LETTER L WITH CARON (U+013E)","l","l"
"U+00100+","Ŀ","c4bf","LATIN CAPITAL LETTER L WITH MIDDLE DOT (U+013F)","L","L"
"U+00100+","ŀ","c580","LATIN SMALL LETTER L WITH MIDDLE DOT (U+0140)","l","l"
"U+00100+","Ł","c581","LATIN CAPITAL LETTER L WITH STROKE (U+0141)","L","L"
"U+00100+","ł","c582","LATIN SMALL LETTER L WITH STROKE (U+0142)","l","l"
