,code_point,char,utf8,name,multiascii,ascii
119,U+0077,w,77,LATIN SMALL LETTER W,w,
120,U+0078,x,78,LATIN SMALL LETTER X,x,
121,U+0079,y,79,LATIN SMALL LETTER Y,y,
122,U+007A,z,7a,LATIN SMALL LETTER Z,z,
123,U+007B,{,7b,LEFT CURLY BRACKET,{,
124,U+007C,|,7c,VERTICAL LINE,|,
125,U+007D,},7d,RIGHT CURLY BRACKET,},
126,U+007E,~,7e,TILDE,~,
127,U+007F,,7f,CONTROL CHARACTER, ,
128,U+0080,,c2 80,CONTROL CHARACTER, ,
129,U+0081,,c2 81,CONTROL CHARACTER, ,
130,U+0082,,c2 82,CONTROL CHARACTER, ,
131,U+0083,,c2 83,CONTROL CHARACTER, ,
132,U+0084,,c2 84,CONTROL CHARACTER, ,
133,U+0085,,c2 85,CONTROL CHARACTER, ,
134,U+0086,,c2 86,CONTROL CHARACTER, ,
135,U+0087,,c2 87,CONTROL CHARACTER, ,
136,U+0088,,c2 88,CONTROL CHARACTER, ,
137,U+0089,,c2 89,CONTROL CHARACTER, ,
138,U+008A,,c2 8a,CONTROL CHARACTER, ,
139,U+008B,,c2 8b,CONTROL CHARACTER, ,
140,U+008C,,c2 8c,CONTROL CHARACTER, ,
141,U+008D,,c2 8d,CONTROL CHARACTER, ,
142,U+008E,,c2 8e,CONTROL CHARACTER, ,
143,U+008F,,c2 8f,CONTROL CHARACTER, ,
144,U+0090,,c2 90,CONTROL CHARACTER, ,
145,U+0091,,c2 91,CONTROL CHARACTER, ,
146,U+0092,,c2 92,CONTROL CHARACTER, ,
147,U+0093,,c2 93,CONTROL CHARACTER, ,
148,U+0094,,c2 94,CONTROL CHARACTER, ,
149,U+0095,,c2 95,CONTROL CHARACTER, ,
150,U+0096,,c2 96,CONTROL CHARACTER, ,
151,U+0097,,c2 97,CONTROL CHARACTER, ,
152,U+0098,,c2 98,CONTROL CHARACTER, ,
153,U+0099,,c2 99,CONTROL CHARACTER, ,
154,U+009A,,c2 9a,CONTROL CHARACTER, ,
155,U+009B,,c2 9b,CONTROL CHARACTER, ,
156,U+009C,,c2 9c,CONTROL CHARACTER, ,
157,U+009D,,c2 9d,CONTROL CHARACTER, ,
158,U+009E,,c2 9e,CONTROL CHARACTER, ,
159,U+009F,,c2 9f,CONTROL CHARACTER, ,
160,U+00A0,,c2 a0,NO-BREAK SPACE, ,
161,U+00A1,!,c2 a1,INVERTED EXCLAMATION MARK,i,
162,U+00A2,¢,c2 a2,CENT SIGN, CENTS,
163,U+00A3,£,c2 a3,POUND SIGN, POUNDS,
164,U+00A4,¤,c2 a4,CURRENCY SIGN, CURRENCY,
165,U+00A5,¥,c2 a5,YEN SIGN, YEN,
166,U+00A6,¦,c2 a6,BROKEN BAR, |,
167,U+00A7,§,c2 a7,SECTION SIGN, SECTION,
168,U+00A8,¨,c2 a8,DIAERESIS,"""",
169,U+00A9,©,c2 a9,COPYRIGHT SIGN, COPYRIGHT,
170,U+00AA,ª,c2 aa,FEMININE ORDINAL INDICATOR, a,
171,U+00AB,«,c2 ab,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,<<,
172,U+00AC,¬,c2 ac,NOT SIGN, NOT,
173,U+00AD,­,c2 ad,SOFT HYPHEN,-,
174,U+00AE,®,c2 ae,REGISTERED SIGN, REGISTERED,
175,U+00AF,¯,c2 af,MACRON, ~,
176,U+00B0,°,c2 b0,DEGREE SIGN, DEGREES,
177,U+00B1,±,c2 b1,PLUS-MINUS SIGN,+/-,
178,U+00B2,²,c2 b2,SUPERSCRIPT TWO,^2,2
179,U+00B3,³,c2 b3,SUPERSCRIPT THREE,^3,3
180,U+00B4,´,c2 b4,ACUTE ACCENT,','
181,U+00B5,µ,c2 b5,MICRO SIGN,MICRO,u
182,U+00B6,¶,c2 b6,PILCROW SIGN, PARAGRAPH,P
183,U+00B7,·,c2 b7,MIDDLE DOT, DOT ,.
184,U+00B8,¸,c2 b8,CEDILLA,",",","
185,U+00B9,¹,c2 b9,SUPERSCRIPT ONE,^1,
186,U+00BA,º,c2 ba,MASCULINE ORDINAL INDICATOR, DEGREES,o
187,U+00BB,»,c2 bb,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,>>,>
188,U+00BC,¼,c2 bc,VULGAR FRACTION ONE QUARTER,1/4, 
189,U+00BD,½,c2 bd,VULGAR FRACTION ONE HALF,1/2, 
190,U+00BE,¾,c2 be,VULGAR FRACTION THREE QUARTERS,3/4,
191,U+00BF,¿,c2 bf,INVERTED QUESTION MARK,"?
",?
192,U+00C0,À,c3 80,LATIN CAPITAL LETTER A WITH GRAVE,A,A
193,U+00C1,Á,c3 81,LATIN CAPITAL LETTER A WITH ACUTE,A,A
194,U+00C2,Â,c3 82,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,A,A
195,U+00C3,Ã,c3 83,LATIN CAPITAL LETTER A WITH TILDE,A,A
196,U+00C4,Ä,c3 84,LATIN CAPITAL LETTER A WITH DIAERESIS,A,A
197,U+00C5,Å,c3 85,LATIN CAPITAL LETTER A WITH RING ABOVE,A,A
198,U+00C6,Æ,c3 86,LATIN CAPITAL LETTER AE,AE,A
199,U+00C7,Ç,c3 87,LATIN CAPITAL LETTER C WITH CEDILLA,C,C
200,U+00C8,È,c3 88,LATIN CAPITAL LETTER E WITH GRAVE,E,E
201,U+00C9,É,c3 89,LATIN CAPITAL LETTER E WITH ACUTE,E,E
202,U+00CA,Ê,c3 8a,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,E,E
203,U+00CB,Ë,c3 8b,LATIN CAPITAL LETTER E WITH DIAERESIS,E,E
204,U+00CC,Ì,c3 8c,LATIN CAPITAL LETTER I WITH GRAVE,l,l
205,U+00CD,Í,c3 8d,LATIN CAPITAL LETTER I WITH ACUTE,l,l
206,U+00CE,Î,c3 8e,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,l,l
207,U+00CF,Ï,c3 8f,LATIN CAPITAL LETTER I WITH DIAERESIS,l,l
208,U+00D0,Ð,c3 90,LATIN CAPITAL LETTER ETH,D,D
209,U+00D1,Ñ,c3 91,LATIN CAPITAL LETTER N WITH TILDE,N,N
210,U+00D2,Ò,c3 92,LATIN CAPITAL LETTER O WITH GRAVE,O,O
211,U+00D3,Ó,c3 93,LATIN CAPITAL LETTER O WITH ACUTE,O,O
212,U+00D4,Ô,c3 94,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,O,O
213,U+00D5,Õ,c3 95,LATIN CAPITAL LETTER O WITH TILDE,O,O
214,U+00D6,Ö,c3 96,LATIN CAPITAL LETTER O WITH DIAERESIS,O,O
215,U+00D7,×,c3 97,MULTIPLICATION SIGN,x,x
216,U+00D8,Ø,c3 98,LATIN CAPITAL LETTER O WITH STROKE,0,0
217,U+00D9,Ù,c3 99,LATIN CAPITAL LETTER U WITH GRAVE,U,U
218,U+00DA,Ú,c3 9a,LATIN CAPITAL LETTER U WITH ACUTE,U,U
219,U+00DB,Û,c3 9b,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,U,U
220,U+00DC,Ü,c3 9c,LATIN CAPITAL LETTER U WITH DIAERESIS,U,U
221,U+00DD,Ý,c3 9d,LATIN CAPITAL LETTER Y WITH ACUTE,Y,Y
222,U+00DE,Þ,c3 9e,LATIN CAPITAL LETTER THORN,P,P
223,U+00DF,ß,c3 9f,LATIN SMALL LETTER SHARP S,B,B
224,U+00E0,à,c3 a0,LATIN SMALL LETTER A WITH GRAVE,a,a
225,U+00E1,á,c3 a1,LATIN SMALL LETTER A WITH ACUTE,a,a
226,U+00E2,â,c3 a2,LATIN SMALL LETTER A WITH CIRCUMFLEX,a,a
227,U+00E3,ã,c3 a3,LATIN SMALL LETTER A WITH TILDE,a,a
228,U+00E4,ä,c3 a4,LATIN SMALL LETTER A WITH DIAERESIS,a,a
229,U+00E5,å,c3 a5,LATIN SMALL LETTER A WITH RING ABOVE,a,a
230,U+00E6,æ,c3 a6,LATIN SMALL LETTER AE,ae,a
231,U+00E7,ç,c3 a7,LATIN SMALL LETTER C WITH CEDILLA,c,c
232,U+00E8,è,c3 a8,LATIN SMALL LETTER E WITH GRAVE,e,e
233,U+00E9,é,c3 a9,LATIN SMALL LETTER E WITH ACUTE,e,e
234,U+00EA,ê,c3 aa,LATIN SMALL LETTER E WITH CIRCUMFLEX,e,e
235,U+00EB,ë,c3 ab,LATIN SMALL LETTER E WITH DIAERESIS,e,e
236,U+00EC,ì,c3 ac,LATIN SMALL LETTER I WITH GRAVE,i,i
237,U+00ED,í,c3 ad,LATIN SMALL LETTER I WITH ACUTE,i,i
238,U+00EE,î,c3 ae,LATIN SMALL LETTER I WITH CIRCUMFLEX,i,i
239,U+00EF,ï,c3 af,LATIN SMALL LETTER I WITH DIAERESIS,i,i
240,U+00F0,ð,c3 b0,LATIN SMALL LETTER ETH,o,o
241,U+00F1,ñ,c3 b1,LATIN SMALL LETTER N WITH TILDE,n,n
242,U+00F2,ò,c3 b2,LATIN SMALL LETTER O WITH GRAVE,o,o
243,U+00F3,ó,c3 b3,LATIN SMALL LETTER O WITH ACUTE,o,o
244,U+00F4,ô,c3 b4,LATIN SMALL LETTER O WITH CIRCUMFLEX,o,o
245,U+00F5,õ,c3 b5,LATIN SMALL LETTER O WITH TILDE,o,o
246,U+00F6,ö,c3 b6,LATIN SMALL LETTER O WITH DIAERESIS,o,o
247,U+00F7,÷,c3 b7,DIVISION SIGN,/,/
248,U+00F8,ø,c3 b8,LATIN SMALL LETTER O WITH STROKE,0,0
249,U+00F9,ù,c3 b9,LATIN SMALL LETTER U WITH GRAVE,u,u
250,U+00FA,ú,c3 ba,LATIN SMALL LETTER U WITH ACUTE,u,u
251,U+00FB,û,c3 bb,LATIN SMALL LETTER U WITH CIRCUMFLEX,u,u
252,U+00FC,ü,c3 bc,LATIN SMALL LETTER U WITH DIAERESIS,u,u
253,U+00FD,ý,c3 bd,LATIN SMALL LETTER Y WITH ACUTE,y,y
254,U+00FE,þ,c3 be,LATIN SMALL LETTER THORN,p,p
255,U+00FF,ÿ,c3 bf,LATIN SMALL LETTER Y WITH DIAERESIS,y,y
256,U+0100,Ā,c480,LATIN CAPITAL LETTER A WITH MACRON,,
257,U+0101,ā,c481,LATIN SMALL LETTER A WITH MACRON,,
258,U+0102,Ă,c482,LATIN CAPITAL LETTER A WITH BREVE,,
259,U+0103,ă,c483,LATIN SMALL LETTER A WITH BREVE,,
260,U+0104,Ą,c484,LATIN CAPITAL LETTER A WITH OGONEK,,
261,U+0105,ą,c485,LATIN SMALL LETTER A WITH OGONEK,,
262,U+0106,Ć,c486,LATIN CAPITAL LETTER C WITH ACUTE,,
263,U+0107,ć,c487,LATIN SMALL LETTER C WITH ACUTE,,
264,U+0108,Ĉ,c488,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,,
265,U+0109,ĉ,c489,LATIN SMALL LETTER C WITH CIRCUMFLEX,,
266,U+010A,Ċ,c48a,LATIN CAPITAL LETTER C WITH DOT ABOVE,,
267,U+010B,ċ,c48b,LATIN SMALL LETTER C WITH DOT ABOVE,,
268,U+010C,Č,c48c,LATIN CAPITAL LETTER C WITH CARON,,
269,U+010D,č,c48d,LATIN SMALL LETTER C WITH CARON,,
270,U+010E,Ď,c48e,LATIN CAPITAL LETTER D WITH CARON,,
271,U+010F,ď,c48f,LATIN SMALL LETTER D WITH CARON,,
272,U+0110,Đ,c490,LATIN CAPITAL LETTER D WITH STROKE,,
273,U+0111,đ,c491,LATIN SMALL LETTER D WITH STROKE,,
274,U+0112,Ē,c492,LATIN CAPITAL LETTER E WITH MACRON,,
275,U+0113,ē,c493,LATIN SMALL LETTER E WITH MACRON,,
276,U+0114,Ĕ,c494,LATIN CAPITAL LETTER E WITH BREVE,,
277,U+0115,ĕ,c495,LATIN SMALL LETTER E WITH BREVE,,
278,U+0116,Ė,c496,LATIN CAPITAL LETTER E WITH DOT ABOVE,,
279,U+0117,ė,c497,LATIN SMALL LETTER E WITH DOT ABOVE,,
280,U+0118,Ę,c498,LATIN CAPITAL LETTER E WITH OGONEK,,
281,U+0119,ę,c499,LATIN SMALL LETTER E WITH OGONEK,,
282,U+011A,Ě,c49a,LATIN CAPITAL LETTER E WITH CARON,,
283,U+011B,ě,c49b,LATIN SMALL LETTER E WITH CARON,,
284,U+011C,Ĝ,c49c,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,,
285,U+011D,ĝ,c49d,LATIN SMALL LETTER G WITH CIRCUMFLEX,,
286,U+011E,Ğ,c49e,LATIN CAPITAL LETTER G WITH BREVE,,
287,U+011F,ğ,c49f,LATIN SMALL LETTER G WITH BREVE,,
288,U+0120,Ġ,c4a0,LATIN CAPITAL LETTER G WITH DOT ABOVE,,
289,U+0121,ġ,c4a1,LATIN SMALL LETTER G WITH DOT ABOVE,,
290,U+0122,Ģ,c4a2,LATIN CAPITAL LETTER G WITH CEDILLA,,
291,U+0123,ģ,c4a3,LATIN SMALL LETTER G WITH CEDILLA,,
292,U+0124,Ĥ,c4a4,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,,
293,U+0125,ĥ,c4a5,LATIN SMALL LETTER H WITH CIRCUMFLEX,,
294,U+0126,Ħ,c4a6,LATIN CAPITAL LETTER H WITH STROKE,,
295,U+0127,ħ,c4a7,LATIN SMALL LETTER H WITH STROKE,,
296,U+0128,Ĩ,c4a8,LATIN CAPITAL LETTER I WITH TILDE,,
297,U+0129,ĩ,c4a9,LATIN SMALL LETTER I WITH TILDE,,
298,U+012A,Ī,c4aa,LATIN CAPITAL LETTER I WITH MACRON,,
299,U+012B,ī,c4ab,LATIN SMALL LETTER I WITH MACRON,,
300,U+012C,Ĭ,c4ac,LATIN CAPITAL LETTER I WITH BREVE,,
301,U+012D,ĭ,c4ad,LATIN SMALL LETTER I WITH BREVE,,
302,U+012E,Į,c4ae,LATIN CAPITAL LETTER I WITH OGONEK,,
303,U+012F,į,c4af,LATIN SMALL LETTER I WITH OGONEK,,
304,U+0130,İ,c4b0,LATIN CAPITAL LETTER I WITH DOT ABOVE,,
305,U+0131,ı,c4b1,LATIN SMALL LETTER DOTLESS I,,
306,U+0132,Ĳ,c4b2,LATIN CAPITAL LIGATURE IJ,,
307,U+0133,ĳ,c4b3,LATIN SMALL LIGATURE IJ,,
308,U+0134,Ĵ,c4b4,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,,
309,U+0135,ĵ,c4b5,LATIN SMALL LETTER J WITH CIRCUMFLEX,,
310,U+0136,Ķ,c4b6,LATIN CAPITAL LETTER K WITH CEDILLA,,
311,U+0137,ķ,c4b7,LATIN SMALL LETTER K WITH CEDILLA,,
312,U+0138,ĸ,c4b8,LATIN SMALL LETTER KRA,,
313,U+0139,Ĺ,c4b9,LATIN CAPITAL LETTER L WITH ACUTE,,
314,U+013A,ĺ,c4ba,LATIN SMALL LETTER L WITH ACUTE,,
315,U+013B,Ļ,c4bb,LATIN CAPITAL LETTER L WITH CEDILLA,,
316,U+013C,ļ,c4bc,LATIN SMALL LETTER L WITH CEDILLA,,
317,U+013D,Ľ,c4bd,LATIN CAPITAL LETTER L WITH CARON,,
318,U+013E,ľ,c4be,LATIN SMALL LETTER L WITH CARON,,
319,U+013F,Ŀ,c4bf,LATIN CAPITAL LETTER L WITH MIDDLE DOT,,
320,U+0140,ŀ,c580,LATIN SMALL LETTER L WITH MIDDLE DOT,,
321,U+0141,Ł,c581,LATIN CAPITAL LETTER L WITH STROKE,,
322,U+0142,ł,c582,LATIN SMALL LETTER L WITH STROKE,,
323,U+0143,Ń,c583,LATIN CAPITAL LETTER N WITH ACUTE,,
324,U+0144,ń,c584,LATIN SMALL LETTER N WITH ACUTE,,
325,U+0145,Ņ,c585,LATIN CAPITAL LETTER N WITH CEDILLA,,
326,U+0146,ņ,c586,LATIN SMALL LETTER N WITH CEDILLA,,
327,U+0147,Ň,c587,LATIN CAPITAL LETTER N WITH CARON,,
328,U+0148,ň,c588,LATIN SMALL LETTER N WITH CARON,,
329,U+0149,ŉ,c589,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE,,
330,U+014A,Ŋ,c58a,LATIN CAPITAL LETTER ENG,,
331,U+014B,ŋ,c58b,LATIN SMALL LETTER ENG,,
332,U+014C,Ō,c58c,LATIN CAPITAL LETTER O WITH MACRON,,
333,U+014D,ō,c58d,LATIN SMALL LETTER O WITH MACRON,,
334,U+014E,Ŏ,c58e,LATIN CAPITAL LETTER O WITH BREVE,,
335,U+014F,ŏ,c58f,LATIN SMALL LETTER O WITH BREVE,,
336,U+0150,Ő,c590,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,,
337,U+0151,ő,c591,LATIN SMALL LETTER O WITH DOUBLE ACUTE,,
338,U+0152,Œ,c592,LATIN CAPITAL LIGATURE OE,,
339,U+0153,œ,c593,LATIN SMALL LIGATURE OE,,
340,U+0154,Ŕ,c594,LATIN CAPITAL LETTER R WITH ACUTE,,
341,U+0155,ŕ,c595,LATIN SMALL LETTER R WITH ACUTE,,
342,U+0156,Ŗ,c596,LATIN CAPITAL LETTER R WITH CEDILLA,,
343,U+0157,ŗ,c597,LATIN SMALL LETTER R WITH CEDILLA,,
344,U+0158,Ř,c598,LATIN CAPITAL LETTER R WITH CARON,,
345,U+0159,ř,c599,LATIN SMALL LETTER R WITH CARON,,
346,U+015A,Ś,c59a,LATIN CAPITAL LETTER S WITH ACUTE,,
347,U+015B,ś,c59b,LATIN SMALL LETTER S WITH ACUTE,,
348,U+015C,Ŝ,c59c,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,,
349,U+015D,ŝ,c59d,LATIN SMALL LETTER S WITH CIRCUMFLEX,,
350,U+015E,Ş,c59e,LATIN CAPITAL LETTER S WITH CEDILLA,,
351,U+015F,ş,c59f,LATIN SMALL LETTER S WITH CEDILLA,,
352,U+0160,Š,c5a0,LATIN CAPITAL LETTER S WITH CARON,,
353,U+0161,š,c5a1,LATIN SMALL LETTER S WITH CARON,,
354,U+0162,Ţ,c5a2,LATIN CAPITAL LETTER T WITH CEDILLA,,
355,U+0163,ţ,c5a3,LATIN SMALL LETTER T WITH CEDILLA,,
356,U+0164,Ť,c5a4,LATIN CAPITAL LETTER T WITH CARON,,
357,U+0165,ť,c5a5,LATIN SMALL LETTER T WITH CARON,,
358,U+0166,Ŧ,c5a6,LATIN CAPITAL LETTER T WITH STROKE,,
359,U+0167,ŧ,c5a7,LATIN SMALL LETTER T WITH STROKE,,
360,U+0168,Ũ,c5a8,LATIN CAPITAL LETTER U WITH TILDE,,
361,U+0169,ũ,c5a9,LATIN SMALL LETTER U WITH TILDE,,
362,U+016A,Ū,c5aa,LATIN CAPITAL LETTER U WITH MACRON,,
363,U+016B,ū,c5ab,LATIN SMALL LETTER U WITH MACRON,,
364,U+016C,Ŭ,c5ac,LATIN CAPITAL LETTER U WITH BREVE,,
365,U+016D,ŭ,c5ad,LATIN SMALL LETTER U WITH BREVE,,
366,U+016E,Ů,c5ae,LATIN CAPITAL LETTER U WITH RING ABOVE,,
367,U+016F,ů,c5af,LATIN SMALL LETTER U WITH RING ABOVE,,
368,U+0170,Ű,c5b0,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,,
369,U+0171,ű,c5b1,LATIN SMALL LETTER U WITH DOUBLE ACUTE,,
370,U+0172,Ų,c5b2,LATIN CAPITAL LETTER U WITH OGONEK,,
371,U+0173,ų,c5b3,LATIN SMALL LETTER U WITH OGONEK,,
372,U+0174,Ŵ,c5b4,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,,
373,U+0175,ŵ,c5b5,LATIN SMALL LETTER W WITH CIRCUMFLEX,,
374,U+0176,Ŷ,c5b6,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,,
375,U+0177,ŷ,c5b7,LATIN SMALL LETTER Y WITH CIRCUMFLEX,,
376,U+0178,Ÿ,c5b8,LATIN CAPITAL LETTER Y WITH DIAERESIS,,
377,U+0179,Ź,c5b9,LATIN CAPITAL LETTER Z WITH ACUTE,,
378,U+017A,ź,c5ba,LATIN SMALL LETTER Z WITH ACUTE,,
379,U+017B,Ż,c5bb,LATIN CAPITAL LETTER Z WITH DOT ABOVE,,
380,U+017C,ż,c5bc,LATIN SMALL LETTER Z WITH DOT ABOVE,,
381,U+017D,Ž,c5bd,LATIN CAPITAL LETTER Z WITH CARON,,
382,U+017E,ž,c5be,LATIN SMALL LETTER Z WITH CARON,,
383,U+017F,ſ,c5bf,LATIN SMALL LETTER LONG S,,
384,U+0180,ƀ,c680,LATIN SMALL LETTER B WITH STROKE,,
385,U+0181,Ɓ,c681,LATIN CAPITAL LETTER B WITH HOOK,,
386,U+0182,Ƃ,c682,LATIN CAPITAL LETTER B WITH TOPBAR,,
387,U+0183,ƃ,c683,LATIN SMALL LETTER B WITH TOPBAR,,
388,U+0184,Ƅ,c684,LATIN CAPITAL LETTER TONE SIX,,
389,U+0185,ƅ,c685,LATIN SMALL LETTER TONE SIX,,
390,U+0186,Ɔ,c686,LATIN CAPITAL LETTER OPEN O,,
391,U+0187,Ƈ,c687,LATIN CAPITAL LETTER C WITH HOOK,,
392,U+0188,ƈ,c688,LATIN SMALL LETTER C WITH HOOK,,
393,U+0189,Ɖ,c689,LATIN CAPITAL LETTER AFRICAN D,,
394,U+018A,Ɗ,c68a,LATIN CAPITAL LETTER D WITH HOOK,,
395,U+018B,Ƌ,c68b,LATIN CAPITAL LETTER D WITH TOPBAR,,
